name,name_kana,region,lat,lng,rank,category,description
万世橋駅 跡地,,東京都,35.6975133,139.7695765,6,第1シリーズ,【#6 秋葉原】かつて存在した旧万世橋駅の遺構として、鉄道と街の発展を語る立ち寄り先だったと思われる
日本橋,,東京都,35.6837412,139.7741427,7,第1シリーズ,【#7 日本橋】五街道の起点として、日本橋川と江戸の街の成り立ちを語る中心的な立ち寄り先だったと思われる
日本橋三越本店,,東京都,35.6852598,139.7737036,7,第1シリーズ,【#7 日本橋】日本橋の商業の歴史を象徴する老舗百貨店として訪れたと推定される
赤門,,東京都,35.7105917,139.7603593,8,第1シリーズ,【#8 本郷台地】本郷台地上に位置する東京大学の象徴的な門として、台地の地形を語る立ち寄り先だったと思われる
湯島聖堂,,東京都,35.7005909,139.7664055,8,第1シリーズ,【#8 本郷台地】本郷台地の縁にあたる高台に位置し、台地の地形と学問の歴史を語る場面で訪れたと推定される
泉岳寺,,東京都,35.6374464,139.7362279,9,第1シリーズ,【#9 品川】旧東海道沿いの寺院として、品川宿周辺の歴史を語る立ち寄り先だったと思われる
品川宿,,東京都,35.6199893,139.7421562,9,第1シリーズ,【#9 品川】旧東海道の宿場町の中心として、品川の街の成り立ちを語る場面で訪れたと推定される
品川神社,,東京都,35.618369,139.7406592,9,第1シリーズ,【#9 品川】品川宿を見下ろす高台に位置し、地形と信仰の歴史を語る立ち寄り先だったと思われる
御殿山庭園,,東京都,35.6211242,139.7369437,9,第1シリーズ,【#9 品川】かつて桜の名所・御殿山として知られた高台の名残として訪れたと推定される
港の見える丘公園,,神奈川県,35.4391563,139.6555967,10,第1シリーズ,【#10 横浜】山手の高台から横浜港を見渡し、開港期の地形を語る立ち寄り先だったと思われる
横浜中華街,,神奈川県,35.4413284,139.6481567,10,第1シリーズ,【#10 横浜】開港後に形成された街の成り立ちを語る場面で訪れたと推定される
山下公園,,神奈川県,35.4462338,139.6514609,10,第1シリーズ,【#10 横浜】関東大震災の瓦礫で造成された埋立地として、横浜港の歴史を語る立ち寄り先だったと思われる
雷門,,東京都,35.7111,139.7964,11,第1シリーズ,【#11 浅草】浅草寺の表玄関として、浅草の街の成り立ちを語る中心的な立ち寄り先だったと思われる
時の鐘(浅草寺),,東京都,35.7134367,139.7973261,11,第1シリーズ,【#11 浅草】江戸時代の時刻を告げた鐘として、浅草の歴史を語る場面で訪れたと推定される
神田明神,,東京都,35.7020414,139.7678152,12,第1シリーズ,【#12 神田】神田の総鎮守として、神田の街と台地の歴史を語る中心的な立ち寄り先だったと思われる
聖橋の由来,,東京都,35.7002338,139.7654355,12,第1シリーズ,【#12 神田】神田川に架かる聖橋の来歴を示す碑として、川と台地の地形を語る場面で訪れたと推定される
新宿御苑,,東京都,35.6854273,139.7116373,13,第1シリーズ,【#13 新宿・大久保】武家屋敷跡地に造られた庭園として、新宿の街の成り立ちを語る立ち寄り先だったと思われる
花園神社,,東京都,35.6933423,139.7056842,13,第1シリーズ,【#13 新宿・大久保】新宿の総鎮守として、新宿の街の歴史を語る場面で訪れたと推定される
皆中稲荷神社,,東京都,35.7012427,139.6993921,13,第1シリーズ,【#13 新宿・大久保】江戸時代の鉄砲組屋敷に由来する神社として、大久保の街の成り立ちを語る立ち寄り先だったと思われる
赤坂氷川神社,,東京都,35.6676404,139.7362618,14,第1シリーズ,【#14 赤坂】赤坂の高台に位置する古社として、地形と歴史を語る立ち寄り先だったと思われる
豊川稲荷東京別院,,東京都,35.6765307,139.7328113,14,第1シリーズ,【#14 赤坂】武家屋敷跡に建つ寺院として、赤坂の街の成り立ちを語る場面で訪れたと推定される
迎賓館赤坂離宮,,東京都,35.6830458,139.7288249,14,第1シリーズ,【#14 赤坂】旧紀州藩邸跡地に建つ洋館として、赤坂の土地の歴史を語る立ち寄り先だったと思われる
六本木ヒルズ,,東京都,35.6611582,139.7285343,15,第1シリーズ,【#15 六本木】六本木の高台の地形を活かした再開発地として訪れたと推定される
麻布十番,,東京都,35.6542621,139.7366855,15,第1シリーズ,【#15 六本木】かつての谷地に形成された商店街として、六本木周辺の谷と丘の地形を語る立ち寄り先だったと思われる
築地本願寺,つきじほんがんじ,東京都,35.6668414,139.7717963,1,第2シリーズ,【#1 築地】築地の街歩きで訪れ、伊東忠太設計の特異な外観を確認したと思われる
波除稲荷神社,なみよけいなりじんじゃ,東京都,35.663615,139.771456,1,第2シリーズ,【#1 築地】築地埋め立て時に波除けとして祀られた由来を確認したと思われる
築地川銀座公園,つきじがわぎんざこうえん,東京都,35.6686835,139.7688632,1,第2シリーズ,【#1 築地】埋め立てられた築地川の痕跡として立ち寄ったと思われる
東京駅丸の内駅舎,とうきょうえきまるのうちえきしゃ,東京都,35.6811333,139.7659796,2,第2シリーズ,【#2 丸の内】丸の内の街づくりの起点として駅舎を確認したと思われる
皇居外苑,こうきょがいえん,東京都,35.679944,139.758466,2,第2シリーズ,【#2 丸の内】江戸城の地形・大名小路との位置関係を確認したと思われる
三菱一号館,みつびしいちごうかん,東京都,35.6784348,139.7631371,2,第2シリーズ,【#2 丸の内】「一丁ロンドン」と呼ばれた丸の内近代化の象徴として訪れたと思われる
新宿御苑,しんじゅくぎょえん,東京都,35.6854273,139.7116373,3,第2シリーズ,【#3 新宿 水道編】内藤家下屋敷と玉川上水にまつわる水利の痕跡を確認したと思われる
四谷大木戸跡碑,よつやおおきどあとひ,東京都,35.687567,139.7149828,3,第2シリーズ,【#3 新宿 水道編】玉川上水が江戸市中への配水を始めた地点として訪れたと思われる
十二社熊野神社,じゅうにそうくまのじんじゃ,東京都,35.6902533,139.6882189,3,第2シリーズ,【#3 新宿 水道編】淀橋浄水場や熊野十二社の池など旧水源地の歴史を確認したと思われる
湯島天満宮,ゆしまてんまんぐう,東京都,35.7076107,139.7671511,4,第2シリーズ,【#4 住宅の変遷史 本郷湯島】本郷台地の高台に位置する社として地形を確認したと思われる
菊坂,きくざか,東京都,35.7095768,139.7569245,4,第2シリーズ,【#4 住宅の変遷史 本郷湯島】崖地に密集した住宅・路地の変遷をたどったと思われる
赤門,あかもん,東京都,35.7105917,139.7603593,4,第2シリーズ,【#4 住宅の変遷史 本郷湯島】旧大名屋敷から東京大学へと変わった土地利用の象徴として訪れたと思われる
鷹番,たかばん,東京都,35.6278194,139.6855823,5,第2シリーズ,【#5 鷹狩り】将軍家の鷹番屋敷に由来する地名として、鷹狩りの痕跡を確認したと思われる
横浜港大さん橋国際客船ターミナル,よこはまこうおおさんばしこくさいきゃくせんたーみなる,神奈川県,35.451365,139.6474214,6,第2シリーズ,【#6 横浜 港湾編】開港以来の埠頭の変遷をたどる起点として訪れたと思われる
象の鼻パーク,ぞうのはなぱーく,神奈川県,35.4481409,139.6437093,6,第2シリーズ,【#6 横浜 港湾編】開港時に築かれた最初の波止場の形状を確認したと思われる
山下公園,やましたこうえん,神奈川県,35.4462338,139.6514609,6,第2シリーズ,【#6 横浜 港湾編】関東大震災の瓦礫を埋め立てて造成された港湾史の痕跡として訪れたと思われる
羽田神社,はねだじんじゃ,東京都,35.5468705,139.7404518,11,第2シリーズ,【#11 羽田】漁師町だった旧羽田の氏神として、街の成り立ちを確認したと思われる
穴守稲荷神社,あなもりいなりじんじゃ,東京都,35.5500318,139.7497373,11,第2シリーズ,【#11 羽田】旧穴守稲荷の門前町と空港拡張による移転の歴史をたどったと思われる
高岩寺,こうがんじ,東京都,35.735814,139.7355247,12,第2シリーズ,【#12 池袋・巣鴨】とげぬき地蔵として知られ、巣鴨の門前町の成り立ちを確認したと思われる
巣鴨地蔵通り商店街,すがもじぞうどおりしょうてんがい,東京都,35.7387979,139.7306169,12,第2シリーズ,【#12 池袋・巣鴨】中山道の旧街道筋に発達した商店街として街歩きしたと思われる
サンシャインシティ,さんしゃいんしてぃ,東京都,35.7288424,139.7185874,12,第2シリーズ,【#12 池袋・巣鴨】旧巣鴨プリズン跡地の再開発の歴史を確認したと思われる
赤坂見附跡,あかさかみつけあと,東京都,35.6787621,139.7380659,13,第2シリーズ,【#13 江戸城外堀】江戸城外堀に設けられた見附(城門)跡として石垣を確認したと思われる
弁慶橋ボート場,べんけいばしぼーとじょう,東京都,35.6789701,139.7360341,13,第2シリーズ,【#13 江戸城外堀】外堀に架かる橋として、堀の水面が残る区間を確認したと思われる
四谷見附,よつやみつけ,東京都,35.6862252,139.731174,13,第2シリーズ,【#13 江戸城外堀】外堀沿いの見附跡の石垣遺構を確認したと思われる
小石川後楽園,こいしかわこうらくえん,東京都,35.7050014,139.7478533,17,第2シリーズ,【#17 江戸のゴミ】小石川の武家地・庭園の造成と土地利用の歴史を確認したと思われる
江戸川橋,えどがわばし,東京都,35.7094336,139.7292193,17,第2シリーズ,【#17 江戸のゴミ】神田川沿いの旧牛込・小石川境の地形とごみ処理の歴史をたどったと思われる
東京タワー,とうきょうたわー,東京都,35.6584718,139.7454977,18,第2シリーズ,【#18 東京タワー・芝】芝の高台に建てられた地形的な理由を確認したと思われる
増上寺,ぞうじょうじ,東京都,35.6572249,139.7484189,18,第2シリーズ,【#18 東京タワー・芝】徳川将軍家の菩提寺として芝の街の成り立ちを確認したと思われる
芝大神宮,しばだいじんぐう,東京都,35.6575164,139.7533156,18,第2シリーズ,【#18 東京タワー・芝】芝の古くからの鎮守として門前町の歴史を確認したと思われる
道玄坂,どうげんざか,東京都,35.6579413,139.698329,19,第2シリーズ,【#19 渋谷】谷地形の渋谷を象徴する坂道として地形を確認したと思われる
金王八幡宮,こんのうはちまんぐう,東京都,35.6575733,139.7062875,19,第2シリーズ,【#19 渋谷】渋谷の地名由来とされる渋谷氏ゆかりの社として訪れたと思われる
渋谷川,しぶやがわ,東京都,35.6471375,139.7234044,19,第2シリーズ,【#19 渋谷】谷底を流れ、現在は暗渠化された川として地形の痕跡を確認したと思われる
明治大学 中野キャンパス,,東京都,35.7067565,139.6592226,1,第3シリーズ,【#1 江戸の動物〜中野〜（前編）】江戸時代にお犬様御囲所があったとされる場所に建つキャンパスで、タモリ一行が訪れたと思われる
中野区立 平和の森公園,,東京都,35.717068,139.6631619,1,第3シリーズ,【#1 江戸の動物〜中野〜（前編）】かつての犬小屋・御囲場跡地の一角にあたる公園として立ち寄ったと推定される
恩賜上野動物園,,東京都,35.7168344,139.7714181,2,第3シリーズ,【#2 上野動物園（後編）】回のテーマそのものである上野動物園の敷地内を巡ったと思われる
寛永寺,,東京都,35.7122772,139.7713512,2,第3シリーズ,【#2 上野動物園（後編）】動物園開設以前の上野山を治めた寺院として、旧境内地の歴史を辿ったと推定される
岩淵水門,,東京都,35.7858775,139.7341243,3,第3シリーズ,【#3 荒川（前編）】荒川放水路の要となる水門として、荒川の成り立ちを解説する舞台になったと思われる
荒川知水資料館,,東京都,35.785618,139.730122,3,第3シリーズ,【#3 荒川（前編）】荒川放水路の歴史・治水を紹介する資料館として立ち寄ったと推定される
柴又帝釈天,,東京都,35.7584809,139.8788141,4,第3シリーズ,【#4 荒川・柴又（後編）】柴又の街の中心として、門前町の成り立ちを辿る中で訪れたと思われる
矢切の渡し,,東京都,35.7594451,139.8831393,4,第3シリーズ,【#4 荒川・柴又（後編）】江戸川の渡し船として、荒川・江戸川流域の地形を体感する題材になったと推定される
金龍山 浅草寺,,東京都,35.71393,139.796408,5,第3シリーズ,【#5 地下鉄「銀座線」（前編）】銀座線浅草駅に隣接する門前町の起点として訪れたと思われる
万世橋,,東京都,35.6968535,139.771159,5,第3シリーズ,【#5 地下鉄「銀座線」（前編）】地下鉄工事や旧万世橋駅の歴史を辿る中で立ち寄ったと推定される
銀座四丁目交差点,,東京都,35.6712197,139.7650359,6,第3シリーズ,【#6 地下鉄「銀座線」（後編）】銀座線の名の由来である銀座の中心地として訪れたと思われる
両国国技館,,東京都,35.6969958,139.7932345,8,第3シリーズ,【#8 江戸の盛り場〜両国・両国国技館〜】回のテーマである両国の盛り場・相撲文化を象徴する施設として訪れたと思われる
江戸東京博物館,,東京都,35.6964208,139.7962009,8,第3シリーズ,【#8 江戸の盛り場〜両国・両国国技館〜】江戸の両国広小路など盛り場の歴史を確認するために立ち寄ったと推定される
回向院,,東京都,35.6934499,139.7919774,8,第3シリーズ,【#8 江戸の盛り場〜両国・両国国技館〜】勧進相撲発祥の地とされる寺院として、両国の盛り場の歴史を辿る題材になったと思われる
吉原大門跡,,東京都,35.7241749,139.7959939,9,第3シリーズ,【#9 江戸の盛り場〜吉原〜】旧吉原遊郭の入口跡として、遊郭の街の構造を辿る起点になったと思われる
見返り柳,,東京都,35.7244557,139.7972581,9,第3シリーズ,【#9 江戸の盛り場〜吉原〜】吉原遊郭の名所として、当時の街の雰囲気を伝える題材になったと推定される
待乳山聖天,,東京都,35.7173545,139.8029781,9,第3シリーズ,【#9 江戸の盛り場〜吉原〜】隅田川・浅草方面から吉原へ向かう道筋の目印として立ち寄ったと推定される
武蔵国分寺跡,,東京都,35.6900059,139.4720927,10,第3シリーズ,【#10 国分寺〜遺跡〜（前編）】回のテーマである古代国分寺の遺構そのものとして訪れたと思われる
鉄道総合技術研究所 光町集会所,,東京都,35.7022004,139.4445006,11,第3シリーズ,【#11 国分寺〜鉄道総研〜（後編）】鉄道総合技術研究所の所在地周辺として、鉄道技術と地形の関わりを辿る中で訪れたと推定される
隅田公園,,東京都,35.7115496,139.800532,13,第3シリーズ,【#13 街の樹木・植物（墨田区）】隅田川沿いの街路樹・植生を観察する舞台の一つになったと思われる
向島百花園,,東京都,35.7238194,139.8150155,13,第3シリーズ,【#13 街の樹木・植物（墨田区）】墨田区の草木文化を象徴する庭園として立ち寄ったと推定される
小名木川,,東京都,35.6836846,139.7965043,14,第3シリーズ,【#14 江戸の運河（江東区前編）】江戸時代に開削された運河として、江東区の水路網を辿る中心になったと思われる
清澄庭園,,東京都,35.6810117,139.7971847,14,第3シリーズ,【#14 江戸の運河（江東区前編）】運河沿いに造られた大名庭園として、水と街の関わりを示す題材になったと推定される
深川江戸資料館,,東京都,35.681089,139.800777,15,第3シリーズ,【#15 江戸の運河（江東区後編）】深川の運河沿いの町並みを再現した資料館として立ち寄ったと思われる
新宿御苑,,東京都,35.6854273,139.7116373,16,第3シリーズ,【#16 新宿誕生編（前編）】内藤新宿の大名屋敷跡地として、新宿の街の成り立ちを辿る題材になったと思われる
花園神社,,東京都,35.6933423,139.7056842,16,第3シリーズ,【#16 新宿誕生編（前編）】内藤新宿の鎮守として、宿場町としての新宿の歴史を辿る中で訪れたと推定される
東京都庁,,東京都,35.6892783,139.6922872,17,第3シリーズ,【#17 新宿〜新都心編〜（後編）】淀橋浄水場跡地に建つ新都心のシンボルとして訪れたと思われる
新宿中央公園,,東京都,35.6881432,139.6897809,17,第3シリーズ,【#17 新宿〜新都心編〜（後編）】淀橋浄水場跡地の再開発の一角として、新宿新都心の成り立ちを辿る題材になったと推定される
明治神宮外苑,,東京都,35.6774882,139.7183045,18,第3シリーズ,【#18 ブラタモリスペシャル 神宮外苑】回のテーマである神宮外苑の造成の歴史を辿る舞台になったと思われる
鳩森八幡神社,,東京都,35.6779568,139.7095455,18,第3シリーズ,【#18 ブラタモリスペシャル 神宮外苑】千駄ヶ谷の旧地形・信仰の中心として、外苑周辺の地理を辿る中で訪れたと推定される
佃まちかど展示館,,東京都,35.6678004,139.7822229,19,第3シリーズ,【#19 ブラタモリスペシャル 江戸の食】佃島の漁師町としての歴史・食文化を紹介する展示館として立ち寄ったと思われる
佃島渡船場跡,,東京都,35.6689184,139.7803333,19,第3シリーズ,【#19 ブラタモリスペシャル 江戸の食】佃島と対岸を結んだ渡船場跡として、佃島の成り立ちを辿る題材になったと推定される
日本橋,,東京都,35.6837412,139.7741427,19,第3シリーズ,【#19 ブラタモリスペシャル 江戸の食】江戸の魚河岸があった場所として、江戸の食文化を辿る起点になったと思われる
出島,でじま,長崎県,32.7430,129.8738,1,第4シリーズ,"【#1 長崎「""坂の町・長崎""の始まりとは?」】鎖国時代の人工島。長崎のまちの成り立ちを考える上での起点として登場したと思われる回。"
眼鏡橋,めがねばし,長崎県,32.7472925,129.8799892,1,第4シリーズ,"【#1 長崎「""坂の町・長崎""の始まりとは?」】江戸期からの中島川沿いの町並みを象徴する石橋。坂の町の旧市街地形を読む題材と思われる。"
稲佐山,いなさやま,長崎県,32.753426,129.8493382,1,第4シリーズ,"【#1 長崎「""坂の町・長崎""の始まりとは?」】長崎市街を一望できる山。地形俯瞰の導入として登場したと思われる。"
グラバー園,ぐらばーえん,長崎県,32.733328,129.8692834,2,第4シリーズ,【#2 長崎「長崎の近代化は海から?」】幕末〜明治の外国人居留地。海からの近代化をテーマにした回の中心的スポットと思われる。
大浦天主堂,おおうらてんしゅどう,長崎県,32.7341475,129.8701356,2,第4シリーズ,【#2 長崎「長崎の近代化は海から?」】居留地に建てられた現存最古の教会。近代化・海外交流の象徴として登場したと思われる。
金沢城,かなざわじょう,石川県,36.565733,136.659579,3,第4シリーズ,【#3 金沢「加賀百万石はどう守られた!?」】加賀藩前田家の居城。防御をテーマにした回の中心スポットと思われる。
兼六園,けんろくえん,石川県,36.5634981,136.6616547,4,第4シリーズ,【#4 金沢の「美」「金沢は美のまち!?」】日本三名園の一つ。金沢の「美」を象徴する庭園として登場したと思われる。
ひがし茶屋街,ひがしちゃやがい,石川県,36.5725559,136.6666756,4,第4シリーズ,【#4 金沢の「美」「金沢は美のまち!?」】重要伝統的建造物群保存地区。茶屋文化・町並みの美をテーマに登場したと思われる。
鶴岡八幡宮,つるがおかはちまんぐう,神奈川県,35.3254824,139.5562143,5,第4シリーズ,【#5 鎌倉「800年前の『まちづくり』とは?」】鎌倉幕府の都市計画の中心。若宮大路を含む町割りの起点として登場したと思われる。
建長寺,けんちょうじ,神奈川県,35.3314124,139.5565306,5,第4シリーズ,【#5 鎌倉「800年前の『まちづくり』とは?」】鎌倉五山第一位の禅寺。中世都市の寺町構成を読む題材と思われる。
由比ヶ浜,ゆいがはま,神奈川県,35.3091729,139.5395136,5,第4シリーズ,【#5 鎌倉「800年前の『まちづくり』とは?」】鎌倉の海側の玄関口。都市と海・地形の関係をテーマに登場したと思われる。
江の島,えのしま,神奈川県,35.2983098,139.474861,6,第4シリーズ,【#6 鎌倉の観光「鎌倉が観光で発展し続ける理由は?」】鎌倉近郊の観光地。観光による発展というテーマに関連して登場したと思われる。
函館駅,はこだてえき,北海道,41.773069,140.7274007,7,第4シリーズ,【#7 はるばる函館へ「レールはどう函館を目指す?」】「レールはどう函館を目指す?」がテーマの回で、函館駅はまちの交通・産業の要として登場したと思われる。
函館山,はこだてやま,北海道,41.761623,140.7139375,8,第4シリーズ,【#8 函館の夜景「函館の夜景はなぜ美しい?」】「函館の夜景はなぜ美しい?」がテーマの回で、函館山は地形・自然の成り立ちを示す見どころとして登場したと思われる。
川越氷川神社,かわごえひかわじんじゃ,埼玉県,35.9271396,139.4887762,9,第4シリーズ,【#9 小江戸・川越「なぜ川越は小江戸と呼ばれる?」】「なぜ川越は小江戸と呼ばれる?」がテーマの回で、川越氷川神社は信仰・参詣の中心地として登場したと思われる。
時の鐘,ときのかね,埼玉県,35.9232817,139.4849103,9,第4シリーズ,【#9 小江戸・川越「なぜ川越は小江戸と呼ばれる?」】「なぜ川越は小江戸と呼ばれる?」がテーマの回で、時の鐘は番組内で紹介された見どころとして登場したと思われる。
東大寺,とうだいじ,奈良県,34.6887366,135.8426633,10,第4シリーズ,【#10 奈良「奈良発展の秘密は段差にあり?」】「奈良発展の秘密は段差にあり?」がテーマの回で、東大寺は信仰・歴史を物語る寺院として登場したと思われる。
春日大社,かすがたいしゃ,奈良県,34.6817579,135.8402007,11,第4シリーズ,【#11 奈良の宝「観光地・奈良はどう守られた?」】「観光地・奈良はどう守られた?」がテーマの回で、春日大社は信仰・参詣の中心地として登場したと思われる。
仙台城跡,せんだいじょうあと,宮城県,38.2528625,140.8567402,12,第4シリーズ,【#12 仙台「伊達政宗は地形マニア!?」】「伊達政宗は地形マニア!?」がテーマの回で、仙台城跡は防御・築城の観点を語る中心的な題材として登場したと思われる。
広瀬川,ひろせがわ,宮城県,38.2633811,140.8083158,13,第4シリーズ,【#13 仙台「杜」と「都」「杜の都の秘密とは?」】「杜」と「都」「杜の都の秘密とは?」がテーマの回で、広瀬川は地形・自然の成り立ちを示す見どころとして登場したと思われる。
東京駅,とうきょうえき,東京都,35.6811333,139.7659796,SP1,第4シリーズ,【#SP1 ブラタモリスペシャル 東京駅「巨大地下空間は歴史の生き証人!?」】「巨大地下空間は歴史の生き証人!?」がテーマの回で、東京駅はまちの交通・産業の要として登場したと思われる。
松江城,まつえじょう,島根県,35.4743935,133.0482684,14,第4シリーズ,【#14 松江「国宝 松江城の城下町はどうつくられた?」】「国宝 松江城の城下町はどうつくられた?」がテーマの回で、松江城は防御・築城の観点を語る中心的な題材として登場したと思われる。
出雲大社,いずもたいしゃ,島根県,34.6714064,135.146665,15,第4シリーズ,【#15 出雲「出雲はなぜ日本有数の観光地となった?」】「出雲はなぜ日本有数の観光地となった?」がテーマの回で、出雲大社は信仰・参詣の中心地として登場したと思われる。
雲場池,くもばいけ,長野県,36.350658,138.626833,16,第4シリーズ,【#16 軽井沢「軽井沢はなぜ日本一の避暑地になった!?」】「軽井沢はなぜ日本一の避暑地になった!?」がテーマの回で、雲場池は番組内で紹介された見どころとして登場したと思われる。
櫛田神社,くしだじんじゃ,福岡県,33.5929993,130.4104089,17,第4シリーズ,【#17 博多「博多誕生のカギは高低差にあり!?」】「博多誕生のカギは高低差にあり!?」がテーマの回で、櫛田神社は信仰・参詣の中心地として登場したと思われる。
博多駅中心,はかたえき,福岡県,33.5814343,130.4236633,18,第4シリーズ,【#18 福岡と鉄道「福岡発展のカギは鉄道にあり!?」】「福岡発展のカギは鉄道にあり!?」がテーマの回で、博多駅中心はまちの交通・産業の要として登場したと思われる。
富士山本宮浅間大社,ふじさんほんぐうせんげんたいしゃ,静岡県,35.2275142,138.6100689,19,第4シリーズ,【#19 富士山「富士山はなぜ美しい?」】「富士山はなぜ美しい?」がテーマの回で、富士山本宮浅間大社は信仰・参詣の中心地として登場したと思われる。
宝永山,ほうえいざん,静岡県,35.3435936,138.7520674,20,第4シリーズ,【#20 富士山の美「富士山はなぜ美しい?」】「富士山はなぜ美しい?」がテーマの回で、宝永山は地形・自然の成り立ちを示す見どころとして登場したと思われる。
剣ヶ峰,けんがみね,静岡県,35.3606812,138.7273506,21,第4シリーズ,【#21 富士山頂「人はなぜ富士山頂を目指す?」】「人はなぜ富士山頂を目指す?」がテーマの回で、剣ヶ峰は番組内で紹介された見どころとして登場したと思われる。
大通公園,おおどおりこうえん,北海道,43.0591269,141.3457287,22,第4シリーズ,【#22 札幌「なぜ札幌は200万都市になった?」】「なぜ札幌は200万都市になった?」がテーマの回で、大通公園はまち歩きで紹介された見どころとして登場したと思われる。
小樽運河,おたるうんが,北海道,43.2047267,140.9994261,23,第4シリーズ,【#23 小樽「観光地・小樽発展の秘密は衰退にあり?」】「観光地・小樽発展の秘密は衰退にあり?」がテーマの回で、小樽運河は番組内で紹介された見どころとして登場したと思われる。
碓氷峠,うすいとうげ,長野県,36.3534986,138.7179728,24,第4シリーズ,【#24 軽井沢への道「人はどう峠を越えてきた?」】「人はどう峠を越えてきた?」がテーマの回で、碓氷峠は地形・自然の成り立ちを示す見どころとして登場したと思われる。
日光東照宮,にっこうとうしょうぐう,栃木県,36.7577002,139.5990895,25,第4シリーズ,【#25 日光東照宮「日光東照宮は江戸のテーマパーク?」】「日光東照宮は江戸のテーマパーク?」がテーマの回で、日光東照宮は信仰・参詣の中心地として登場したと思われる。
華厳の滝,けごんのたき,栃木県,36.737944,139.5040485,26,第4シリーズ,【#26 日光の絶景「日光はなぜNIKKOになった?」】「日光はなぜNIKKOになった?」がテーマの回で、華厳の滝は地形・自然の成り立ちを示す見どころとして登場したと思われる。
起雲閣,きうんかく,静岡県,35.0927353,139.0714359,27,第4シリーズ,【#27 熱海「人気温泉地・熱海を支えたものは?」】「人気温泉地・熱海を支えたものは?」がテーマの回で、起雲閣は番組内で紹介された見どころとして登場したと思われる。
小田原城,おだわらじょう,神奈川県,35.2569191,139.1531976,28,第4シリーズ,【#28 小田原「江戸の原点は小田原にあり」】「江戸の原点は小田原にあり」がテーマの回で、小田原城は防御・築城の観点を語る中心的な題材として登場したと思われる。
松山城,まつやまじょう,愛媛県,33.845651,132.7657463,29,第4シリーズ,【#29 松山「四国一の街・松山はどうできた?」】「四国一の街・松山はどうできた?」がテーマの回で、松山城は防御・築城の観点を語る中心的な題材として登場したと思われる。
道後温泉本館,どうごおんせんほんかん,愛媛県,33.852064,132.7864326,30,第4シリーズ,【#30 道後温泉「道後100万人の湯はどうできた?」】「道後100万人の湯はどうできた?」がテーマの回で、道後温泉本館は温泉地の魅力を伝える場所として登場したと思われる。
沼田城跡,ぬまたじょうあと,群馬県,36.6472499,139.0399888,31,第4シリーズ,【#31 真田丸スペシャル・沼田「真田は沼田でどんな城下町をつくった?」】「真田は沼田でどんな城下町をつくった?」がテーマの回で、沼田城跡は防御・築城の観点を語る中心的な題材として登場したと思われる。
首里城,しゅりじょう,沖縄県,26.218147,127.7161535,32,第4シリーズ,【#32 沖縄・首里「王都・首里はサンゴでできている?」】「王都・首里はサンゴでできている?」がテーマの回で、首里城は防御・築城の観点を語る中心的な題材として登場したと思われる。
